enable,matchrule,match_from,dow,tod_from,tod_to,valid_from,valid_to,responder,parameter,to_scheme,to_user,to_host,from_name,from_user,from_host,dialplan,domain,plan_description
yes,sip:MoveMyCall@*,*,*,*,*,*,*,Self-Pickup,,sip:,<OwnUser>,<OwnDomain>,[*],<OwnUser>,<OwnDomain>,Cloud PBX Features,admin-only,SNAPmobile Move Call
yes,sip:[*]67[0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:start@to-user-resi,,sip:,[!!!*],<OwnDomain>,[*],<Anonymous>[*],[*],Cloud PBX Features,admin-only,On-net 3-Digit Anonymous
yes,sip:[*]67[1-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:start@to-user-resi,,sip:,[!!!*],<OwnDomain>,[*],<Anonymous>[*],[*],Cloud PBX Features,admin-only,On-net 4-Digit Anonymous
yes,sip:[0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:start@to-user-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,On-net 3-Digit
yes,sip:[1-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:start@to-user-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,On-net 4-Digit
yes,sip:[2-8]11@*,*,*,*,*,*,*,sip:start@to-connection,,sip:,[*],<OwnDomain>,<OwnCidName>,<OwnCidNmbr>,<OwnDomain>,Cloud PBX Features,admin-only,2-811 features
yes,[*]98,*,*,*,*,*,*,<Cloud PBX Features Scope Check>,,[*],<OwnScope>[*],[*],[*],[*],[*],Cloud PBX Features,admin-only,Scope Check Call Recording
yes,[*]99,*,*,*,*,*,*,<Cloud PBX Features Scope Check>,,[*],<OwnScope>[*],[*],[*],[*],[*],Cloud PBX Features,admin-only,Scope Check Call Recording
yes,[*][*][*],*,*,*,*,*,*,sip:start@call-queuing,"701,702,703",sip:,<ReserveQueue>,<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Dynamic Call Park
yes,[0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:start@to-user-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,To Onnet User in a specific domain
yes,[0-9][0-9][0-9]wp,*,*,*,*,*,*,sip:start@to-device,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,webphone call
yes,[0-9][0-9][0-9][0-9]wp,*,*,*,*,*,*,sip:start@to-device,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,webphone call
yes,[1-9][0-9][0-9],*,*,*,*,*,*,sip:start@to-device-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Forward to 3-Digit Extension
yes,[1-9][0-9][0-9][0-9],*,*,*,*,*,*,sip:start@to-device-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Forward to 4-Digit Extension
yes,[1-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,sip:start@to-user-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,To Onnet User in a specific domain
yes,[1-9][0-9][0-9][0-9][A-z],*,*,*,*,*,*,sip:start@to-device-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Forward to 4-Digit Extension extra owned device
yes,[1-9][0-9][0-9][A-z],*,*,*,*,*,*,sip:start@to-device-resi,,sip:,[*],<OwnDomain>,[*],[*],[*],Cloud PBX Features,admin-only,Forward to 3-Digit Extension extra owned device
yes,AdvancedUser[*]98,*,*,*,*,*,*,Event,record_start,sip:,<OwnUser>,<OwnDomain>,<OwnName>,<OwnUser>,<OwnDomain>,Cloud PBX Features Scope Check,admin-only,Allow On Demand Call Recording Start
yes,AdvancedUser[*]99,*,*,*,*,*,*,Event,record_stop,sip:,<OwnUser>,<OwnDomain>,<OwnName>,<OwnUser>,<OwnDomain>,Cloud PBX Features Scope Check,admin-only,Allow On Demand Call Recording Stop
yes,1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,sip:start@to-device,,sip:,[*],<OwnDomain>,[*],[*],[*],Default,admin-only,Forward to Domestic 11-Digit
yes,AAMain,*,*,*,*,*,*,sip:start@main-menu,,[*],[*],<OwnDomain>,[*],[*],[*],Default,admin-only,AA Main
yes,sip:+1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,<DID Table> <To Connection>,,[*],[!*],<OwnDomain>,<OwnCidName>,<OwnCidNmbr>,<OwnDomain>,Default,admin-only,"11-Digit DID with ""+"" prefix"
yes,sip:011*@*,*,*,*,*,*,*,sip:start@to-connection,,[*],[*],<OwnDomain>,<OwnCidName>,<OwnCidNmbr>,<OwnDomain>,Default,admin-only,International
yes,sip:1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,<DID Table> <To Connection>,,[*],[*],<OwnDomain>,<OwnCidName>,<OwnCidNmbr>,<OwnDomain>,Default,admin-only,11-Digit DID
yes,sip:1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,sip:1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,<DID Table> <To Connection>,,[*],[*],<OwnDomain>,[*],[*],<OwnDomain>,Default,admin-only,11-Digit SIP Trunk
yes,sip:1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,sip:[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,<DID Table> <To Connection>,,[*],[*],<OwnDomain>,[*],[*],<OwnDomain>,Default,admin-only,11-Digit SIP Trunk
yes,sip:911@*,*,*,*,*,*,*,sip:start@emergency,,[*],[*],<OwnDomain>,<OwnCidName>,<CallerCidEmgr>,<OwnDomain>,Default,admin-only,911 Call
yes,sip:adhoc.monitor.*@conference-bridge,*,*,*,*,*,*,sip:start@to-owned-device,,sip:,[*],conference-bridge,[*],[*],[*],Default,admin-only,To Adhoc Bridges (audio monitoring)
yes,sip:[*]*@*,*,*,*,*,*,*,<Star Codes>,,[*],[*],[*],[*],[*],[*],Default,admin-only,Check Star Codes
yes,sip:[*]67[1-9][0-9][0-9][0-9]*@*,*,*,*,*,*,*,<DID Table> <To Connection>,,[*],[!!!*],<OwnDomain>,[*],<Anonymous>[*],<OwnDomain>,Default,admin-only,To Connection w/Privacy
yes,sip:[2-8]11@*,*,*,*,*,*,*,sip:start@to-connection,,[*],[*],<OwnDomain>,<OwnCidName>,<OwnCidNmbr>,<OwnDomain>,Default,admin-only,2-811 Call
yes,sip:[2-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,<DID Table> <To Connection>,,sip:,1<OwnAreaCode>[*],[*],<OwnCidName>,<OwnCidNmbr>,[*],Default,admin-only,7 Digit Domestic
yes,sip:[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,*,<DID Table> <To Connection>,,[*],1[*],<OwnDomain>,<OwnCidName>,<OwnCidNmbr>,<OwnDomain>,Default,admin-only,10-Digit DID
yes,sip:[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,sip:1[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,<DID Table> <To Connection>,,[*],1[*],<OwnDomain>,[*],[*],<OwnDomain>,Default,admin-only,11-Digit SIP Trunk
yes,sip:[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,sip:[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9]@*,*,*,*,*,*,<DID Table> <To Connection>,,[*],1[*],<OwnDomain>,[*],[*],<OwnDomain>,Default,admin-only,11-Digit SIP Trunk
yes,[2-9][0-9][0-9][1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,sip:start@to-device,,sip:,1[*],<OwnDomain>,[*],[*],[*],Default,admin-only,Forward to Domestic 10-Digit
yes,*,*,*,*,*,*,*,<Default>,,[*],[*],[*],[*],[*],[*],Forward Blocking,admin-only,chain to default
yes,011*,*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny International Forward
yes,1242[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1246[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1264[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1268[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1284[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1340[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1345[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1441[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1473[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1649[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1664[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1670[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1671[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1721[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1758[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1767[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1784[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1787[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1809[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1829[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1849[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1868[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1869[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1876[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1900[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1939[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,1976[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,242[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,246[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,264[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,268[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,284[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,340[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,345[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,441[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,473[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,649[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,664[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,670[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,671[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,721[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,758[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,767[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,784[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,787[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,809[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,829[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,849[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,868[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,869[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,876[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,900[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,939[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
yes,976[1-9][0-9][0-9][0-9][0-9][0-9][0-9],*,*,*,*,*,*,Hangup,,sip:,[*],<OwnDomain>,[*],[*],<OwnDomain>,Forward Blocking,admin-only,Deny Forward to Caribbean
